Menu Item,Qty_Sold,Total_Revenue,BCG_Matrix,Void_Count,Discount_Count,Total_Discount_Amt,Transaction_Count,Item_Void_Rate,Item_Discount_Freq
30 Chicken Quesadillas,1,230,Dog,0,1,500.0,1,0.0,1.0
400 Conejos,29,428,Star,0,5,194.0,21,0.0,0.23809523809523808
818 Reserva,3,140,Dog,0,0,0.0,2,0.0,0.0
:),1,0,Dog,0,1,14.0,1,0.0,1.0
Abasolo,35,525,Star,20,1,6.0,24,0.8333333333333334,0.041666666666666664
Abita Purple Haze,67,455,Star,2,17,3388.0,66,0.030303030303030304,0.25757575757575757
"Abita Purple Haze, IPA",246,1666,Star,7,43,788.0,234,0.029914529914529916,0.18376068376068377
"Ace of Spade, Brut",8,7900,Puzzle,0,4,2275.0,8,0.0,0.5
Acqua Panna,2405,18760,Star,48,288,43079.0,1848,0.025974025974025976,0.15584415584415584
Add One More Taco,1,5,Dog,0,0,0.0,1,0.0,0.0
Adjust,1,2,Dog,0,1,7.0,1,0.0,1.0
Aguasol Blanco,732,10158,Star,21,102,11377.0,476,0.04411764705882353,0.21428571428571427
Aguasol Reposado,274,3596,Star,6,37,4501.0,161,0.037267080745341616,0.22981366459627328
Albrechen Rose,1,75,Dog,1,0,0.0,1,1.0,0.0
Alix Earle SIP Margs,44,520,Star,0,4,95.0,42,0.0,0.09523809523809523
Alma Miel Peach Honey Marg,1,25,Dog,0,1,6.0,1,0.0,1.0
Aloe Margarita,146,1704,Star,4,27,668.0,137,0.029197080291970802,0.19708029197080293
Altos Malbec,7,350,Dog,4,1,12.0,6,0.6666666666666666,0.16666666666666666
Amaras Verde,85,1337,Star,0,5,63.0,69,0.0,0.07246376811594203
Amaras Verde Mezcal,4,64,Dog,0,0,0.0,2,0.0,0.0
Amaretto,194,2517,Star,0,23,2796.0,165,0.0,0.1393939393939394
Americano,10,8,Dog,0,4,24.0,9,0.0,0.4444444444444444
Ammaretto,21,263,Plowhorse,0,2,56.0,13,0.0,0.15384615384615385
Ancho Reyes,5,36,Dog,3,1,184.0,4,0.75,0.25
Andre,1,130,Dog,1,1,150.0,1,1.0,1.0
